region,sensitivity,specificity,PPV,NPV,subject
roiAD_8,72.89198606271778,96.23466365815823,95.91930307198533,74.51408604498799,C1
roiAD_8,71.71833583035611,96.0458452722063,95.75319279889214,73.20375627866346,C2
roiAD_8,74.27104722792608,96.08551206124513,96.38907395069953,72.63594671325617,C3
roiAD_8,74.33127572016461,95.92571264036856,96.2306872669153,72.75606027516926,C4
roiAD_8,74.59142769041011,96.0080413555428,96.31055076310551,73.00720681371479,C5
roiAD_8,73.03526158100945,96.15004935834156,95.87051883224929,74.44856955667176,C6
roiAD_8,73.1153595481208,96.17211109512161,96.19837073031299,72.97444856955667,C7
roiAD_8,75.85679314565483,96.14894520741895,96.47165650538332,74.15374535924875,C8
roiAD_8,73.69460289600703,96.13196814562002,96.10872675250359,73.81524350294825,C9
roiAD_8,74.15180513266638,96.12985540119081,96.15059221658207,74.04455121205503,C10
roiAD_8,74.34538322908936,96.05131860299359,96.2002743484225,73.57501637912208,C11
roiAD_8,73.86067708333334,96.23556252673606,96.2664403903267,73.69512994103516,C12
roiAD_8,73.53912863927317,96.06700655498908,96.34789665900176,72.01354007425202,C13
roiAD_8,75.75404994182404,96.11028315946348,97.00859598853869,70.41930552522385,C14
roiAD_8,71.67296156409687,96.13034623217924,96.04048824054779,72.15549246560384,C15
roiAD_8,72.50531974465225,96.05904270564632,95.92532226996592,73.1928368639441,C16
roiAD_8,70.05695687550855,96.25621526762211,95.9255132898297,71.8715876829002,C17
roiAD_8,75.14124293785311,96.31291181830926,96.33653712216186,75.01637912207906,C18
roiAD_8,73.65928975810601,95.94358825239895,96.24747814391392,72.0572177331295,C19
roiAD_8,76.04996557489918,96.29046118590662,96.75885371042423,73.41122515833152,C20
roiAD_8,73.77318619394224,95.993345348676,95.60322531568538,75.6060275169251,C21
roiAD_8,75.90085606211427,96.0781517398745,96.51898734177216,73.56409696440271,C22
roiAD_8,75.80163697640828,96.15106352192157,96.73138363234209,72.55951081022057,C23
roiAD_8,71.72057232175064,96.14352309648255,95.62359730682911,74.31753658003932,C24
roiAD_8,72.4440445394219,95.89706933523946,95.73424494649228,73.24743393754095,C25
