region,sensitivity,specificity,PPV,NPV,subject
w214_8,94.42590775269872,95.48448916037849,96.22962296229623,93.34894613583138,C1
w214_8,93.60214538837276,95.44131910766247,96.2952014976845,92.17798594847775,C2
w214_8,94.0365296803653,95.31117824773415,96.36874122601779,92.35362997658079,C3
w214_8,94.66106778644271,95.29369282619162,96.5812713124071,92.70491803278689,C4
w214_8,94.75724733456691,95.4125135102678,96.56968390804597,93.0327868852459,C5
w214_8,94.7845804988662,95.39175994284354,96.13038696130387,93.8056206088993,C6
w214_8,94.53902688622198,95.3825857519789,96.34967289276571,93.1264637002342,C7
w214_8,94.77191184008201,95.48356015897869,96.73031650536228,92.83372365339578,C8
w214_8,94.83651956405217,95.53635709143269,96.61448853294503,93.23185011709602,C9
w214_8,94.5478489903424,95.4556412729026,96.61762067109277,92.72833723653395,C10
w214_8,94.96784286459238,95.43274994006234,96.63070392642376,93.22014051522248,C11
w214_8,95.06489212201372,95.42287361845267,96.7931992256544,93.00936768149883,C12
w214_8,94.49580551275466,95.3743961352657,96.6468219226055,92.47072599531616,C13
w214_8,94.05557792992349,95.22763334553888,96.76002651640702,91.3583138173302,C14
w214_8,94.0786401419632,95.32191945985049,96.29098556543352,92.57611241217799,C15
w214_8,94.58464773922188,95.4572840101217,96.62519022468892,92.76346604215456,C16
w214_8,93.99077046548958,95.28437724982001,95.9741856177013,92.98594847775176,C17
w214_8,95.63322583456811,95.58858501783591,96.72926033677157,94.13348946135831,C18
w214_8,94.53956117021278,95.38964181994191,96.75910173528412,92.30679156908666,C19
w214_8,94.50322367333443,95.45454545454545,96.82418699186992,92.21311475409836,C20
w214_8,95.26401741970604,95.48648326783376,96.5162239176395,93.88758782201405,C21
w214_8,95.01130125928317,95.50331525015069,96.9282714321008,92.76346604215456,C22
w214_8,94.61360251530697,95.49691320663358,96.84932667061913,92.37704918032786,C23
w214_8,94.37801350048215,95.47636189104871,96.29083038173947,93.17330210772835,C24
w214_8,94.70947733284684,95.44364508393285,96.46938585896126,93.20843091334895,C25
