region,sensitivity,specificity,PPV,NPV,subject
w271_2,65.25386313465785,94.69357249626307,87.40390301596689,82.84655623365302,C1
w271_2,66.37204522096609,94.78315524827153,88.61141602634468,82.17088055797733,C2
w271_2,65.34102616937977,94.62121212121211,88.15679733110926,81.66957279860506,C3
w271_2,67.62448336941547,94.59866850898129,88.87739265390586,82.07279860505668,C4
w271_2,66.73494469479722,94.58917835671342,88.29268292682927,82.30165649520488,C5
w271_2,64.95745633676668,94.78206724782066,87.37951807228916,82.94463818657367,C6
w271_2,65.32674118658642,94.6913734819081,87.75628068149004,82.42153443766347,C7
w271_2,67.42424242424242,94.70115519839277,88.90641430073607,82.19267654751525,C8
w271_2,66.1665257819104,94.7111777944486,88.09791783905459,82.55231037489102,C9
w271_2,67.60899860641051,94.71769134253451,88.97039559863768,82.26896251089799,C10
w271_2,68.4686455671319,94.68550706514944,89.12487205731831,82.51961639058413,C11
w271_2,68.62553689964858,94.7072072072072,89.25850685627222,82.48692240627724,C12
w271_2,66.20111731843575,94.62501580877704,88.64547154688752,81.5387968613775,C13
w271_2,66.84681326872904,94.6149910463034,89.49600798403193,80.61246730601569,C14
w271_2,66.1516275236918,94.69516027655563,88.38425543627856,82.0945945945946,C15
w271_2,67.27859592495462,94.73288186606472,88.81491344873503,82.32345248474282,C16
w271_2,64.30517711171662,94.75389408099689,87.05810021518599,82.86835222319094,C17
w271_2,70.48570309439874,94.88987874288543,89.70588235294117,83.5767218831735,C18
w271_2,68.32046332046332,94.73221020870002,89.41384537645276,82.11639058413252,C19
w271_2,67.31510015408321,94.64692482915717,89.20367534456355,81.50610287707062,C20
w271_2,68.5678339274481,94.81289366432011,88.6178861788618,83.66390584132519,C21
w271_2,69.08815739689746,94.70115519839277,89.64162984781542,82.19267654751525,C22
w271_2,68.72994904699,94.70966116639376,89.6602658788774,81.94202266782912,C23
w271_2,66.68077900084674,94.76439790575915,88.23529411764706,82.84655623365302,C24
w271_2,66.8945514812513,94.73684210526315,88.46575342465754,82.58500435919791,C25
