region,sensitivity,specificity,PPV,NPV,subject
w214_2,68.51989127748949,94.92154749071744,86.73756646856428,86.15066855092944,C1
w214_2,67.57904672015101,94.87148399612028,87.13112260419835,85.06359386889879,C2
w214_2,67.96875,94.81570996978851,87,85.29187955212522,C3
w214_2,70.68353306702176,94.82426576793452,88.10511756569848,85.63974345037504,C4
w214_2,69.3377327362715,94.84808454425362,87.27380599228715,85.85715838678118,C5
w214_2,68.80081300813008,94.9154560609669,86.37958532695374,86.65072290466355,C6
w214_2,68.98795180722892,94.89086111777405,87.04773487382182,86.00934884226547,C7
w214_2,70.567217507816,94.91749969890401,88.21887213847013,85.67235569083596,C8
w214_2,69.79802724283701,94.94840412766979,87.59210138520484,86.02021958908577,C9
w214_2,70.23328847016599,94.8891031822565,88.07313642756681,85.57451896945321,C10
w214_2,71.57101706182141,94.89331095660512,88.34792122538293,86.05283182954669,C11
w214_2,71.94042736887546,94.89428159538683,88.69079297498669,85.86802913360148,C12
w214_2,69.42993413581648,94.84299516908212,87.74397244546498,85.36797477986737,C13
w214_2,68.46373000219154,94.71500061027707,87.82682035423109,84.35699532557886,C14
w214_2,68.97597387450432,94.87581384133108,87.4334713187463,85.54190672899227,C15
w214_2,70.15093489524668,94.87890107241836,87.99095789771123,85.59626046309381,C16
w214_2,67.2916138839625,94.88840892728582,86.17780661907852,85.96586585498423,C17
w214_2,73.74131944444444,94.99405469678953,88.97617177271538,86.84639634742906,C18
w214_2,70.7751771526734,94.84511132623426,88.55454056958625,85.20491357756278,C19
w214_2,70.27964448298287,94.88484848484848,88.4825327510917,85.09620610935971,C20
w214_2,72.01552157041772,94.95057758723352,88.15311539536184,86.67246439830416,C21
w214_2,72.21524288107203,94.9005424954792,89.0754132231405,85.57451896945321,C22
w214_2,71.17422636710471,94.89165960537466,88.83597883597884,85.21578432438308,C23
w214_2,70.0278810408922,94.90040796736261,87.64175632451294,85.97673660180455,C24
w214_2,69.7241216694176,94.9040767386091,87.4334713187463,86.04196108272639,C25
