region,sensitivity,specificity,PPV,NPV,subject
w214_6,92.53353859687707,95.34075937237992,95.58155383916402,92.14029401551106,C1
w214_6,91.7144678138942,95.28370514064015,95.68879530089771,90.9711772195856,C2
w214_6,92.10172645508116,95.16616314199395,95.7030830379203,91.15638384072231,C3
w214_6,92.95869356388089,95.16129032258065,96.01150907828158,91.51522166917468,C4
w214_6,92.98140968287106,95.26840398703015,95.95773058376936,91.82775784234286,C5
w214_6,93.02300228932737,95.24886877828054,95.53291536050156,92.59173515453178,C6
w214_6,92.67241379310344,95.25065963060686,95.70079253066986,91.93193656673226,C7
w214_6,93.02616390919584,95.3149464049139,96.13320079522862,91.60782497974303,C8
w214_6,93.07437518819633,95.38036957043437,96.01366742596811,92.01296446347958,C9
w214_6,92.77393879565646,95.31099324975892,96.02533973638499,91.52679708299571,C10
w214_6,93.29576369996113,95.28889954447375,96.06803401700851,92.01296446347958,C11
w214_6,93.42044296172737,95.25468524747718,96.22947689957999,91.78145618705868,C12
w214_6,92.71337333075286,95.2415458937198,96.0501253132832,91.2837133927538,C13
w214_6,92.25429302155645,95.09337239106554,96.17215768425062,90.1840490797546,C14
w214_6,92.18323177138055,95.18929346515553,95.65027798975252,91.38789211714318,C15
w214_6,92.90718038528897,95.31268827569586,96.08573153552022,91.56152332445885,C16
w214_6,92.02474690663666,95.15238780897528,95.29411764705881,91.79303160087973,C17
w214_6,94.12667946257197,95.44589774078477,96.24178196447846,92.91584674152101,C18
w214_6,92.82842449742871,95.2565343659245,96.2015503875969,91.12165759925918,C19
w214_6,92.78676333891059,95.30909090909091,96.26772109171569,91.01747887486977,C20
w214_6,93.65652915788417,95.35548410146481,95.98806707128897,92.68433846510013,C21
w214_6,93.36492890995261,95.37070524412297,96.38690252164095,91.5730987382799,C22
w214_6,92.9227344402189,95.33954727030626,96.29914447755455,91.16795925454335,C23
w214_6,92.5703886093566,95.33237341012719,95.69499778663125,91.9666628081954,C24
w214_6,92.89533209952704,95.29976019184653,95.84173119762384,92.00138904965853,C25
