region,sensitivity,specificity,PPV,NPV,subject
w79_4,58.63874345549738,95.24533217542336,67.1664167916042,93.28088454178184,C1
w79_4,57.44416873449132,95.21729635291548,67.88856304985337,92.70678290452904,C2
w79_4,65.01614639397201,95.23602349358276,73.39003645200486,93.08951732936424,C3
w79_4,65.08644729503625,95.24842699067044,72.71028037383176,93.34467361258771,C4
w79_4,65.7765667574932,95.24739583333334,73.37386018237082,93.32341058898575,C5
w79_4,60.84183673469388,95.2546045503792,68.53448275862068,93.47225175419945,C6
w79_4,60.84002470660902,95.2442996742671,69.21995783555867,93.25962151817988,C7
w79_4,64.20488385944014,95.2612788055826,71.10817941952506,93.61046140761216,C8
w79_4,64.0195479535736,95.26742301458671,70.5248990578735,93.7380395492239,C9
w79_4,64.9617871840094,95.26384083044984,71.61373946856773,93.66361896661705,C10
w79_4,63.88002552648373,95.27915499029963,69.56219596942321,93.9825643206464,C11
w79_4,64.68877254217568,95.2582007145177,71.74193548387096,93.5466723368063,C12
w79_4,61.96868008948546,95.22042776080313,71.66882276843467,92.77057197533489,C13
w79_4,63.88467374810318,95.20262869660459,74.25044091710758,92.40910057410163,C14
w79_4,59.22029702970298,95.23135547087644,68.60215053763442,92.99383372315543,C15
w79_4,58.79659908436887,95.24636422834817,67.24008975317875,93.30214756538379,C16
w79_4,59.075686537173475,95.2561464312791,66.81818181818183,93.50414628960239,C17
w79_4,62.10392902408112,95.26281635301753,69.1114245416079,93.6423559430151,C18
w79_4,63.52481873954267,95.23394994559304,72.22574508560558,93.04699128216032,C19
w79_4,63.13390313390313,95.23757747091443,71.66882276843467,93.12141186476717,C20
w79_4,61.99376947040498,95.25666016894087,69.43475226796929,93.51477780140335,C21
w79_4,64.29336188436831,95.22719843085976,73.27638804148872,92.9087816287476,C22
w79_4,62.29314420803782,95.24223332609168,70.64343163538874,93.21709547097598,C23
w79_4,60.767160161507405,95.27048914804017,67.33780760626398,93.80182862002977,C24
w79_4,64.35045317220543,95.26691160579209,70.85828343313374,93.72740803742292,C25
