method,region,roi,sensitivity,specificity,PPV,NPV,subject
SPM,ROI 4,80,73.03526158100945,96.15004935834156,95.87051883224927,74.44856955667176,C6
SPM,ROI 4,80,73.1153595481208,96.1721110951216,96.198370730313,72.97444856955667,C7
SPM,ROI 4,80,75.85679314565483,96.14894520741896,96.47165650538332,74.15374535924875,C8
SPM,ROI 4,80,73.69460289600703,96.13196814562002,96.1087267525036,73.81524350294825,C9
SPM,ROI 4,80,74.15180513266638,96.1298554011908,96.15059221658208,74.04455121205503,C10
SPM,ROI 4,80,74.34538322908936,96.0513186029936,96.2002743484225,73.57501637912208,C11
SPM,ROI 4,80,73.86067708333334,96.23556252673606,96.2664403903267,73.69512994103516,C12
SPM,ROI 4,80,73.53912863927317,96.06700655498908,96.34789665900176,72.01354007425202,C13
SPM,ROI 4,80,75.75404994182404,96.11028315946348,97.00859598853869,70.41930552522385,C14
SPM,ROI 4,80,71.67296156409687,96.13034623217924,96.0404882405478,72.15549246560384,C15
SPM,ROI 4,80,72.50531974465225,96.05904270564632,95.92532226996592,73.1928368639441,C16
SPM,ROI 4,80,70.05695687550855,96.25621526762212,95.9255132898297,71.8715876829002,C17
SPM,ROI 4,80,75.14124293785311,96.31291181830926,96.33653712216186,75.01637912207906,C18
SPM,ROI 4,80,73.65928975810601,95.94358825239895,96.24747814391392,72.0572177331295,C19
SPM,ROI 4,80,76.04996557489918,96.29046118590662,96.75885371042423,73.41122515833152,C20
SPM,ROI 4,80,73.77318619394224,95.993345348676,95.60322531568538,75.6060275169251,C21
SPM,ROI 4,80,75.90085606211427,96.0781517398745,96.51898734177216,73.56409696440271,C22
SPM,ROI 4,80,75.80163697640828,96.15106352192156,96.73138363234207,72.55951081022057,C23
SPM,ROI 4,80,71.72057232175064,96.14352309648255,95.62359730682913,74.31753658003932,C24
SPM,ROI 4,80,72.4440445394219,95.89706933523946,95.73424494649228,73.24743393754095,C25
SCC,ROI 1,10,56.87960687960688,88.13880126182966,29.101194217473285,95.98076262452764,C1
SCC,ROI 1,10,43.68340943683409,87.94825954359028,20.02791346824843,95.7631970685904,C2
SCC,ROI 1,10,60.12207527975585,88.12466983623878,34.46064139941691,95.51127905645254,C3
SCC,ROI 1,10,69.1516709511568,88.31346904334985,42.14099216710183,95.8777052559258,C4
SCC,ROI 1,10,60.90308370044053,88.1523569023569,32.93627159023228,95.9349593495935,C5
SCC,ROI 1,10,66.50246305418719,88.33806967687612,37.85754346606842,96.1067216305966,C6
SCC,ROI 1,10,66.5677546983185,88.3033554223204,37.703081232493,96.12962326806368,C7
SCC,ROI 1,10,65.26207605344297,88.39633568495314,36.557282671272304,96.12962326806368,C8
SCC,ROI 1,10,66.15067079463365,88.32492643968054,36.58675799086758,96.24413145539906,C9
SCC,ROI 1,10,61.86252771618626,88.29596884538469,33.41317365269461,96.06091835566242,C10
SCC,ROI 1,10,62.02830188679245,88.18410568253302,31.820931639443433,96.3128363678003,C11
SCC,ROI 1,10,63.76663254861822,88.27433628318585,35.88709677419355,95.94641016832703,C12
SCC,ROI 1,10,67.008547008547,88.36544569129791,41.63568773234201,95.57998396885378,C13
SCC,ROI 1,10,48.507462686567166,88.0038083148207,25.590551181102363,95.25936104431467,C14
SCC,ROI 1,10,57.04225352112676,88.23157228725087,30.337078651685395,95.80900034352456,C15
SCC,ROI 1,10,57.16019417475729,88.14557694330493,29.474342928660825,95.95786098706056,C16
SCC,ROI 1,10,67.1147880041365,88.3742911153119,36.958997722095674,96.35863964273446,C18
SCC,ROI 1,10,56.00961538461539,88.10150573865431,29.19799498746867,95.80900034352456,C19
SCC,ROI 1,10,54.84276729559748,88.10099947396107,27.82386726228462,95.88915607465934,C20
SCC,ROI 1,10,64.51612903225806,88.25753597311207,34.92433061699651,96.22122981793198,C21
SCC,ROI 1,10,67.423580786026207,88.26013513513513,40.976645435244166,95.72884461238978,C22
SCC,ROI 1,10,63.856589147286826,88.23218997361477,37.147688838782415,95.72884461238978,C23
SCC,ROI 1,10,51.81950509461426,88.06204800335394,23.812709030100336,96.20977899919843,C24
SCC,ROI 1,10,66.57115568290354,88.29787234042553,38.55088495575221,95.9922134432612,C25
SPM,ROI 1,10,0,94.95268138801262,0,95.6669138679945,C1
SPM,ROI 1,10,0,94.95215059417394,0,95.65631952537343,C2
SPM,ROI 1,10,0,94.92868462757528,0,95.19016845004768,C3
SPM,ROI 1,10,0,94.93724290686636,0,95.35967793198432,C4
SPM,ROI 1,10,0,94.94949494949496,0,95.60334781226824,C5
SPM,ROI 1,10,0,94.94790022102936,0,95.57156478440513,C6
SPM,ROI 1,10,0,94.9510886715052,0,95.63513084013135,C7
SPM,ROI 1,10,0,94.9457723491629,0,95.52918741392097,C8
SPM,ROI 1,10,0,94.95586380832285,0,95.73047992372074,C9
SPM,ROI 1,10,0,94.94790022102936,0,95.57156478440513,C10
SPM,ROI 1,10,0,94.96749842734326,0,95.96355546138362,C11
SPM,ROI 1,10,0,94.94310998735776,0,95.47621570081576,C12
SPM,ROI 1,10,0,94.91848401439763,0,94.98887594024792,C13
SPM,ROI 1,10,0,94.92224690574422,0,95.06303633859518,C14
SPM,ROI 1,10,0,94.93831066118317,0,95.3808666172264,C15
SPM,ROI 1,10,0,94.9510886715052,0,95.63513084013135,C16
SPM,ROI 1,10,0,94.95904221802142,0,95.79404597944698,C18
SPM,ROI 1,10,0,94.9457723491629,0,95.52918741392097,C19
SPM,ROI 1,10,0,94.95002630194634,0,95.61394215488929,C20
SPM,ROI 1,10,0,94.95851276126456,0,95.78345163682592,C21
SPM,ROI 1,10,0,94.93243243243244,0,95.26432884839495,C22
SPM,ROI 1,10,0,94.93403693931398,0,95.29611187625808,C23
SPM,ROI 1,10,0,94.96908080913953,0,95.99533848924672,C24
SPM,ROI 1,10,0,94.9441752685907,0,95.49740438605784,C25
SCC,ROI 1,40,56.87960687960688,88.13880126182966,29.101194217473285,95.98076262452764,C1
SCC,ROI 1,40,43.68340943683409,87.94825954359028,20.02791346824843,95.7631970685904,C2
SCC,ROI 1,40,60.12207527975585,88.12466983623878,34.46064139941691,95.51127905645254,C3
SCC,ROI 1,40,69.1516709511568,88.31346904334985,42.14099216710183,95.8777052559258,C4
SCC,ROI 1,40,60.90308370044053,88.1523569023569,32.93627159023228,95.9349593495935,C5
SCC,ROI 1,40,66.50246305418719,88.33806967687612,37.85754346606842,96.1067216305966,C6
SCC,ROI 1,40,66.5677546983185,88.3033554223204,37.703081232493,96.12962326806368,C7
SCC,ROI 1,40,65.26207605344297,88.39633568495314,36.557282671272304,96.12962326806368,C8
SCC,ROI 1,40,66.15067079463365,88.32492643968054,36.58675799086758,96.24413145539906,C9
SCC,ROI 1,40,61.86252771618626,88.29596884538469,33.41317365269461,96.06091835566242,C10
SCC,ROI 1,40,62.02830188679245,88.18410568253302,31.820931639443433,96.3128363678003,C11
SCC,ROI 1,40,63.76663254861822,88.27433628318585,35.88709677419355,95.94641016832703,C12
SCC,ROI 1,40,67.008547008547,88.36544569129791,41.63568773234201,95.57998396885378,C13
SCC,ROI 1,40,48.507462686567166,88.0038083148207,25.590551181102363,95.25936104431467,C14
SCC,ROI 1,40,57.04225352112676,88.23157228725087,30.337078651685395,95.80900034352456,C15
SCC,ROI 1,40,57.16019417475729,88.14557694330493,29.474342928660825,95.95786098706056,C16
SCC,ROI 1,40,67.1147880041365,88.3742911153119,36.958997722095674,96.35863964273446,C18
SCC,ROI 1,40,56.00961538461539,88.10150573865431,29.19799498746867,95.80900034352456,C19
SCC,ROI 1,40,54.84276729559748,88.10099947396107,27.82386726228462,95.88915607465934,C20
SCC,ROI 1,40,64.51612903225806,88.25753597311207,34.92433061699651,96.22122981793198,C21
SCC,ROI 1,40,67.423580786026207,88.26013513513513,40.976645435244166,95.72884461238978,C22
SCC,ROI 1,40,63.856589147286826,88.23218997361477,37.147688838782415,95.72884461238978,C23
SCC,ROI 1,40,51.81950509461426,88.06204800335394,23.812709030100336,96.20977899919843,C24
SCC,ROI 1,40,66.57115568290354,88.29787234042553,38.55088495575221,95.9922134432612,C25
SPM,ROI 1,40,0,95.2260778128286,0,95.67881669307975,C1
SPM,ROI 1,40,0,95.22557577032286,0,95.66825145272055,C2
SPM,ROI 1,40,0,95.20338087691496,0,95.20338087691496,C3
SPM,ROI 1,40,0,95.21147558274444,0,95.37242472266244,C4
SPM,ROI 1,40,0,95.22306397306396,0,95.61542525092446,C5
SPM,ROI 1,40,0,95.2215556257236,0,95.5837295298468,C6
SPM,ROI 1,40,0,95.22457136846532,0,95.64712097200211,C7
SPM,ROI 1,40,0,95.21954301358323,0,95.54146856840993,C8
SPM,ROI 1,40,0,95.22908785203867,0,95.74220813523507,C9
SPM,ROI 1,40,0,95.2215556257236,0,95.5837295298468,C10
SPM,ROI 1,40,0,95.24009226252883,0,95.97464342313788,C11
SPM,ROI 1,40,0,95.21702486304255,0,95.48864236661385,C12
SPM,ROI 1,40,0,95.1937327969511,0,95.0026413100898,C13
SPM,ROI 1,40,0,95.1972918650164,0,95.07659799260432,C14
SPM,ROI 1,40,0,95.21248550036908,0,95.39355520338088,C15
SPM,ROI 1,40,0,95.22457136846532,0,95.64712097200211,C16
SPM,ROI 1,40,0,95.2320940978786,0,95.80559957739038,C18
SPM,ROI 1,40,0,95.21954301358323,0,95.54146856840993,C19
SPM,ROI 1,40,0,95.22356654392424,0,95.62599049128367,C20
SPM,ROI 1,40,0,95.2315933200294,0,95.79503433703115,C21
SPM,ROI 1,40,0,95.20692567567568,0,95.27733755942948,C22
SPM,ROI 1,40,0,95.2084432717678,0,95.30903328050712,C23
SPM,ROI 1,40,0,95.2415889319778,0,96.00633914421552,C24
SPM,ROI 1,40,0,95.21803244154202,0,95.50977284733229,C25
SCC,ROI 1,80,56.87960687960688,88.13880126182966,29.101194217473285,95.98076262452764,C1
SCC,ROI 1,80,43.68340943683409,87.94825954359028,20.02791346824843,95.7631970685904,C2
SCC,ROI 1,80,60.12207527975585,88.12466983623878,34.46064139941691,95.51127905645254,C3
SCC,ROI 1,80,69.1516709511568,88.31346904334985,42.14099216710183,95.8777052559258,C4
SCC,ROI 1,80,60.90308370044053,88.1523569023569,32.93627159023228,95.9349593495935,C5
SCC,ROI 1,80,66.50246305418719,88.33806967687612,37.85754346606842,96.1067216305966,C6
SCC,ROI 1,80,66.5677546983185,88.3033554223204,37.703081232493,96.12962326806368,C7
SCC,ROI 1,80,65.26207605344297,88.39633568495314,36.557282671272304,96.12962326806368,C8
SCC,ROI 1,80,66.15067079463365,88.32492643968054,36.58675799086758,96.24413145539906,C9
SCC,ROI 1,80,61.86252771618626,88.29596884538469,33.41317365269461,96.06091835566242,C10
SCC,ROI 1,80,62.02830188679245,88.18410568253302,31.820931639443433,96.3128363678003,C11
SCC,ROI 1,80,63.76663254861822,88.27433628318585,35.88709677419355,95.94641016832703,C12
SCC,ROI 1,80,67.008547008547,88.36544569129791,41.63568773234201,95.57998396885378,C13
SCC,ROI 1,80,48.507462686567166,88.0038083148207,25.590551181102363,95.25936104431467,C14
SCC,ROI 1,80,57.04225352112676,88.23157228725087,30.337078651685395,95.80900034352456,C15
SCC,ROI 1,80,57.16019417475729,88.14557694330493,29.474342928660825,95.95786098706056,C16
SCC,ROI 1,80,67.1147880041365,88.3742911153119,36.958997722095674,96.35863964273446,C18
SCC,ROI 1,80,56.00961538461539,88.10150573865431,29.19799498746867,95.80900034352456,C19
SCC,ROI 1,80,54.84276729559748,88.10099947396107,27.82386726228462,95.88915607465934,C20
SCC,ROI 1,80,64.51612903225806,88.25753597311207,34.92433061699651,96.22122981793198,C21
SCC,ROI 1,80,67.423580786026207,88.26013513513513,40.976645435244166,95.72884461238978,C22
SCC,ROI 1,80,63.856589147286826,88.23218997361477,37.147688838782415,95.72884461238978,C23
SCC,ROI 1,80,51.81950509461426,88.06204800335394,23.812709030100336,96.20977899919843,C24
SCC,ROI 1,80,66.57115568290354,88.29787234042553,38.55088495575221,95.9922134432612,C25
SPM,ROI 1,80,0,95.2260778128286,0,95.67881669307975,C1
SPM,ROI 1,80,0,95.22557577032286,0,95.66825145272055,C2
SPM,ROI 1,80,0,95.20338087691496,0,95.20338087691496,C3
SPM,ROI 1,80,0,95.21147558274444,0,95.37242472266244,C4
SPM,ROI 1,80,0,95.22306397306396,0,95.61542525092446,C5
SPM,ROI 1,80,0,95.2215556257236,0,95.5837295298468,C6
SPM,ROI 1,80,0,95.22457136846532,0,95.64712097200211,C7
SPM,ROI 1,80,0,95.21954301358323,0,95.54146856840993,C8
SPM,ROI 1,80,0,95.22908785203867,0,95.74220813523507,C9
SPM,ROI 1,80,0,95.2215556257236,0,95.5837295298468,C10
SPM,ROI 1,80,0,95.24009226252883,0,95.97464342313788,C11
SPM,ROI 1,80,0,95.21702486304255,0,95.48864236661385,C12
SPM,ROI 1,80,0,95.1937327969511,0,95.0026413100898,C13
SPM,ROI 1,80,0,95.1972918650164,0,95.07659799260432,C14
SPM,ROI 1,80,0,95.21248550036908,0,95.39355520338088,C15
SPM,ROI 1,80,0,95.22457136846532,0,95.64712097200211,C16
SPM,ROI 1,80,0,95.2320940978786,0,95.80559957739038,C18
SPM,ROI 1,80,0,95.21954301358323,0,95.54146856840993,C19
SPM,ROI 1,80,0,95.22356654392424,0,95.62599049128367,C20
SPM,ROI 1,80,0,95.2315933200294,0,95.79503433703115,C21
SPM,ROI 1,80,0,95.20692567567568,0,95.27733755942948,C22
SPM,ROI 1,80,0,95.2084432717678,0,95.30903328050712,C23
SPM,ROI 1,80,0,95.2415889319778,0,96.00633914421552,C24
SPM,ROI 1,80,0,95.21803244154202,0,95.50977284733229,C25
SCC,ROI 2,10,73.13300927971719,90.03473469876631,79.91308546595847,86.07580442001603,C1
SCC,ROI 2,10,72.43912678421495,89.96120271580989,80.64968450572565,84.9650750028627,C2
SCC,ROI 2,10,75.30864197530865,89.82477341389729,82.48387767838568,85.11393564639872,C3
SCC,ROI 2,10,76.6457100591716,89.91333654309099,83.18282159341763,85.53761593953968,C4
SCC,ROI 2,10,76.34183479253902,89.94836075417318,82.73514851485149,85.76663231421047,C5
SCC,ROI 2,10,74.79604980678403,90.00952607763753,80.59218135554013,86.55673880682468,C6
SCC,ROI 2,10,74.02487876871179,89.96162149196451,80.74977000919962,85.8925913202794,C7
SCC,ROI 2,10,75.50465838509317,89.9795254727207,82.38034731046167,85.54906675827321,C8
SCC,ROI 2,10,75.4062186559679,90.07679385649148,81.9668556476232,85.96129623268064,C9
SCC,ROI 2,10,74.43548387096774,89.9831243972999,81.6272385584789,85.48036184587198,C10
SCC,ROI 2,10,74.93355142097731,89.99040997362742,81.44444444444444,85.96129623268064,C11
SCC,ROI 2,10,75.74575940729187,89.96876501681884,82.3093220338983,85.75518149547693,C12
SCC,ROI 2,10,75.92142188961647,89.92753623188405,82.95175797219952,85.26279628993473,C13
SCC,ROI 2,10,76.04112214671545,89.80837300134262,83.93921908059242,84.25512424138326,C14
SCC,ROI 2,10,73.13025210084034,89.8721967687485,80.56005554269845,85.35440283980304,C15
SCC,ROI 2,10,73.28131590046394,89.96264610194,80.66388115134633,85.49181266460552,C16
SCC,ROI 2,10,72.23218287763335,89.92080633549317,79.32562146197391,85.81243558914463,C17
SCC,ROI 2,10,76.41257448119991,90.19024970273485,81.84419014084507,86.85446009389672,C18
SCC,ROI 2,10,75.74118963266828,89.93223620522748,82.9995913363302,85.10248482766518,C19
