region,sensitivity,specificity,PPV,NPV,subject
w271_1,69.78530628323813,89.67364225211759,81.03842634949679,82.43444406275049,C1
w271_1,68.17370612730518,89.60402262727844,80.60961313012895,81.62143593266919,C2
w271_1,73.65125240847784,89.54545454545455,84.70914127423823,81.20920645826176,C3
w271_1,74.3933588761175,89.54905162668007,84.85069191551348,81.63288675140272,C4
w271_1,72.98772169167803,89.54158316633266,83.67546432062561,81.86190312607351,C5
w271_1,70.31945788964182,89.66376089663761,81.3984760197221,82.44589488148402,C6
w271_1,70.52887310783032,89.59559283836234,81.95439739413682,81.9420588572083,C7
w271_1,73.12678902172082,89.61577096936213,84.00386847195358,81.72449330127104,C8
w271_1,71.70873433811512,89.70992748187047,82.75356244761106,82.15962441314554,C9
w271_1,71.4670497396301,89.63613550815558,82.81315022888056,81.80464903240582,C10
w271_1,71.37641474990872,89.59609853695135,82.45466048080978,82.04511622581015,C11
w271_1,72.541841004184107,89.56456456456456,83.3033033033033,81.96496049467537,C12
w271_1,73.53693636072913,89.51561907170861,84.72733971997052,81.04889499599221,C13
w271_1,72.90082259816856,89.37068303914045,84.96743849493488,80.00687049124012,C14
w271_1,70.11281671906787,89.46574481458202,81.89673795636206,81.49547692660025,C15
w271_1,69.18300019406172,89.60371206420868,81.13336367774238,81.81609985113936,C16
w271_1,68.28465651995063,89.60747663551402,79.92296581608088,82.34283751288217,C17
w271_1,73.31506849315068,89.97772828507794,83.2089552238806,83.27035383029887,C18
w271_1,72.61517383113546,89.69072164948454,83.79446640316206,81.69014084507043,C19
w271_1,71.11730869792574,89.54695013920526,83.16347329800244,81.02599335852514,C20
w271_1,72.87502335139175,89.9221934049648,82.70086919652321,83.37341119890073,C21
w271_1,74.60850111856824,89.70366649924661,85.06103115321552,81.80464903240582,C22
w271_1,73.57072852009148,89.62085905025822,84.53453453453453,81.47257528913318,C23
w271_1,69.8250442303912,89.72824731987036,81.17001828153565,82.42299324401695,C24
w271_1,72.46734909989411,89.6737092136517,83.2522303325223,82.13672277567846,C25
