region,sensitivity,specificity,PPV,NPV,subject
w413_1,14.695618456766187,94.64076150736732,47.9746835443038,76.73926834425883,C1
w413_1,15.396283655669322,94.64379256155055,49.8159509202454,76.41150348910975,C2
w413_1,16.97034655234012,94.55268389662028,53.6117381489842,75.42820892366251,C3
w413_1,15.701275045537342,94.4848565004629,50.82547169811321,75.5339395220977,C4
w413_1,13.612167300380229,94.57752040010529,46.493506493506494,75.97800803552548,C5
w413_1,13.260530421216849,94.62393721386528,45.27296937416778,76.48551490801438,C6
w413_1,15.96732268845154,94.60880999342538,51.19047619047619,76.07316557411716,C7
w413_1,17.238886881098665,94.60208525801768,53.83747178329571,75.78769295834215,C8
w413_1,14.000000000000002,94.6526867627785,47.15025906735752,76.35863818989216,C9
w413_1,16.446886446886445,94.60848932243606,52.33100233100233,75.88285049693381,C10
w413_1,14.82469512195122,94.603798297315,48.56429463171036,76.36921124973567,C11
w413_1,15.252947888931153,94.60874116723372,49.32349323493235,76.4432226686403,C12
w413_1,16.143011917659805,94.52907669890051,51.97674418604651,75.44935504334954,C13
w413_1,20.81967213114754,94.67670385804544,61.59068865179438,74.4660604779023,C14
w413_1,13.68140243902439,94.58251150558843,46.56290531776913,76.05201945443011,C15
w413_1,15.150375939849624,94.61306004467218,49.56949569495695,76.13660393317826,C16
w413_1,13.745173745173744,94.61689587426326,46.41460234680574,76.3797843095792,C17
w413_1,17.24813798510388,94.73887814313346,51.886792452830186,77.68027067033199,C18
w413_1,16.842488177519098,94.57998153765,52.974828375286044,75.82998519771623,C19
w413_1,15.91156216020297,94.56809750927398,51.70789163722026,75.47050116303659,C20
w413_1,17.418844022169438,94.75578406169666,51.886792452830186,77.94459716641995,C21
w413_1,16.81159420289855,94.58531431590067,53.08924485125858,75.72425459928102,C22
w413_1,15.189407870540638,94.59066261076578,50.24330900243309,75.61852400084584,C23
w413_1,16.729750189250566,94.66544932829008,51.93889541715628,76.73926834425883,C24
w413_1,15.842320565265899,94.60880999342538,50.95693779904307,76.07316557411716,C25
