region,sensitivity,specificity,PPV,NPV,subject
w32_1,0,94.95268138801262,0,95.6669138679945,C1
w32_1,0,94.95215059417394,0,95.65631952537345,C2
w32_1,0,94.92868462757528,0,95.19016845004768,C3
w32_1,0,94.93724290686636,0,95.35967793198432,C4
w32_1,0,94.94949494949495,0,95.60334781226825,C5
w32_1,0,94.94790022102937,0,95.57156478440513,C6
w32_1,0,94.9510886715052,0,95.63513084013137,C7
w32_1,0,94.9457723491629,0,95.52918741392097,C8
w32_1,0,94.95586380832283,0,95.73047992372074,C9
w32_1,0,94.94790022102937,0,95.57156478440513,C10
w32_1,0,94.96749842734326,0,95.96355546138362,C11
w32_1,0,94.94310998735777,0,95.47621570081577,C12
w32_1,0,94.91848401439763,0,94.98887594024791,C13
w32_1,0,94.92224690574422,0,95.06303633859518,C14
w32_1,0,94.93831066118317,0,95.3808666172264,C15
w32_1,0,94.9510886715052,0,95.63513084013137,C16
w32_1,0,94.95904221802142,0,95.79404597944698,C18
w32_1,0,94.9457723491629,0,95.52918741392097,C19
w32_1,0,94.95002630194634,0,95.61394215488929,C20
w32_1,0,94.95851276126457,0,95.78345163682593,C21
w32_1,0,94.93243243243244,0,95.26432884839495,C22
w32_1,0,94.93403693931398,0,95.29611187625808,C23
w32_1,0,94.96908080913951,0,95.99533848924673,C24
w32_1,0,94.9441752685907,0,95.49740438605785,C25
