region,sensitivity,specificity,PPV,NPV,subject
roiAD_1,22.581560283687942,95.0923706106332,69.58041958041959,71.1887668918919,C1
roiAD_1,22.951709169831798,95.01432664756447,70.85427135678391,70.0168918918919,C2
roiAD_1,28.500864410965672,95.002166690741,76.93333333333334,69.4362331081081,C3
roiAD_1,24.102428722280887,94.97552548229197,72.34548335974644,69.64738175675676,C4
roiAD_1,24.57293035479632,94.80183802412407,72.08943716268311,69.70016891891892,C5
roiAD_1,23.18718381112985,95.03596107742209,70.09345794392523,71.14653716216216,C6
roiAD_1,28.521391043282463,95.19355302921284,77.34056987788331,69.83741554054053,C7
roiAD_1,28.39378238341969,94.97380716409458,75.5341144038594,70.81925675675676,C8
roiAD_1,24.356542942292062,94.99431171786121,71.8625099920064,70.52364864864865,C9
roiAD_1,28.05923616523772,95.02409980153105,75.47169811320755,70.7664695945946,C10
roiAD_1,25.23936170212766,94.95367070563078,72.831926323868,70.32305743243244,C11
roiAD_1,25.465673230441727,95.12334236418081,73.67205542725173,70.42863175675676,C12
roiAD_1,28.647471570287923,95.01820830298617,77.58846657929227,68.86613175675676,C13
roiAD_1,31.251389197599465,95.06706408345752,80.94415659182499,67.34586148648648,C14
roiAD_1,26.057401812688823,95.06837358161188,75.32751091703057,68.99282094594594,C15
roiAD_1,22.966765738989462,94.88392089423904,70.4225352112676,69.90076013513513,C16
roiAD_1,24.136165856155618,95.17402749341913,74.07698350353496,68.70777027027027,C17
roiAD_1,26.80131004366812,95.19136408243376,74.11320754716981,71.68496621621621,C18
roiAD_1,25.247148288973385,94.83861587670835,73.72316802368616,68.86613175675676,C19
roiAD_1,27.32423383981458,95.24491549699226,76.16654702081837,70.20692567567568,C20
roiAD_1,20.91483599157388,94.88423679467628,65.31954887218046,72.25506756756756,C21
roiAD_1,27.17137671765621,95.02281802624073,75.01789549033644,70.3441722972973,C22
roiAD_1,30.23815251383209,95.09477644335118,78.7593984962406,69.38344594594594,C23
roiAD_1,25.708884688090738,94.94278852945331,72.67175572519083,70.95650337837837,C24
roiAD_1,21.59404302261445,94.767691208005715,68.1462140992167,69.9852195945946,C25
